Static Pressure,LPM Rota,periph_ch1,periph_ch1_lpm,temp_mcu,Static_Pa,SP_mV,DP_mV,Differential_Pa,Flow_lph,SB lpm,Accuracy,Error,ideal flow,cd
27.99,130,0,,27.5,28500,63.46,1145.67,66.25,8258,137.6333333,1.058717949,5.87%,137.6436053,0.2033512558
45.17,130,0,,27.9,45987,88.39,1148.8,65.34,8202,136.7,1.051538462,5.15%,136.6950107,0.3304436626
45.17,130,0,,27.9,45987,88.39,1149.58,65.11,8187,136.45,1.049615385,4.96%,136.4542121,0.3310267914
45.17,130,0,,27.5,45987,88.39,1149.58,65.11,8187,136.45,1.049615385,4.96%,136.4542121,0.3310267914
7.11,170,0,,27.9,7286,33.21,1031.57,103.65,10330,172.1666667,1.012745098,1.27%,172.1661436,0.04129731812
7.11,170,0,,27.5,7286,33.21,1031.57,103.65,10330,172.1666667,1.012745098,1.27%,172.1661436,0.04129731812
7.11,170,0,,27.5,7304,33.24,1031.57,103.65,10330,172.1666667,1.012745098,1.27%,172.1661436,0.04129731812
30.23,170,0,,27.9,30784,66.71,1035.48,102.23,10259,170.9833333,1.005784314,0.58%,170.9827425,0.1768014687
30.23,170,0,,27.5,30766,66.69,1035.48,102.23,10259,170.9833333,1.005784314,0.58%,170.9827425,0.1768014687
30.23,170,0,,27.5,30766,66.69,1035.48,102.23,10259,170.9833333,1.005784314,0.58%,170.9827425,0.1768014687
42.35,170,0,,27.9,43064,84.22,1032.35,103.37,10316,171.9333333,1.011372549,1.14%,171.9334416,0.2463162466
42.35,170,0,,27.5,43064,84.22,1032.35,103.37,10316,171.9333333,1.011372549,1.14%,171.9334416,0.2463162466
42.35,170,0,,27.9,43082,84.25,1031.57,103.65,10330,172.1666667,1.012745098,1.27%,172.1661436,0.2459833224
11.23,210,0,,27.9,11452,39.15,903.41,155.61,12657,210.95,1.00452381,0.45%,210.9511269,0.05323507945
11.23,210,0,,27.9,11470,39.18,903.41,155.61,12657,210.95,1.00452381,0.45%,210.9511269,0.05323507945
11.23,210,0,,27.9,11470,39.18,902.63,155.96,12671,211.1833333,1.005634921,0.56%,211.1882306,0.05317531174
32.45,210,0,,27.9,33032,69.92,901.06,156.66,12700,211.6666667,1.007936508,0.79%,211.6616413,0.1533107265
32.45,210,0,,27.9,33050,69.94,901.06,156.66,12700,211.6666667,1.007936508,0.79%,211.6616413,0.1533107265
32.45,210,0,,27.9,33032,69.92,901.84,156.31,12686,211.4333333,1.006825397,0.68%,211.4250685,0.1534822726
46.74,210,0,,27.9,47540,90.6,902.63,155.96,12671,211.1833333,1.005634921,0.56%,211.1882306,0.2213191515
46.74,210,0,,27.9,47540,90.6,901.84,156.31,12686,211.4333333,1.006825397,0.68%,211.4250685,0.2210712303
46.74,210,0,,27.9,47540,90.6,902.63,155.96,12671,211.1833333,1.005634921,0.56%,211.1882306,0.2213191515
12.15,5,0,,27.9,12475,40.61,1581.17,0.13,369,6.15,1.23,23.00%,6.09726084,1.992698085
12.15,5,0,,27.9,12493,40.64,1580.39,0.14,383,6.383333333,1.276666667,27.67%,6.327426604,1.920211922
12.15,5,0,,27.9,12493,40.64,1581.17,0.13,369,6.15,1.23,23.00%,6.09726084,1.992698085
32.3,5,0,,27.9,33209,70.17,1583.51,0.1,326,5.433333333,1.086666667,8.67%,5.347651516,6.040034565
32.3,5,0,,27.9,33355,70.38,1583.51,0.1,326,5.433333333,1.086666667,8.67%,5.347651516,6.040034565
32.3,5,0,,27.9,33465,70.53,1582.73,0.11,341,5.683333333,1.136666667,13.67%,5.608664227,5.758946996
48,5,0,,27.9,48915,92.56,1587.42,0.06,255,4.25,0.85,15.00%,4.142273053,11.58784064
48,5,0,,27.9,48988,92.66,1587.42,0.06,255,4.25,0.85,15.00%,4.142273053,11.58784064
48,5,0,,27.9,49061,92.77,1586.64,0.07,270,4.5,0.9,10.00%,4.474166259,10.72825577
9.74,15,0,,27.9,10006,37.09,1545.98,0.99,1007,16.78333333,1.118888889,11.89%,16.82599268,0.5788662925
9.74,15,0,,27.9,10006,37.09,1545.98,0.99,1007,16.78333333,1.118888889,11.89%,16.82599268,0.5788662925
9.74,15,0,,27.9,10006,37.09,1545.98,0.99,1007,16.78333333,1.118888889,11.89%,16.82599268,0.5788662925
27.62,15,0,,27.9,28181,63,1546.76,0.96,993,16.55,1.103333333,10.33%,16.56909221,1.666959158
27.62,15,0,,28.3,28181,63,1546.76,0.96,993,16.55,1.103333333,10.33%,16.56909221,1.666959158
27.62,15,0,,28.3,28181,63,1546.76,0.96,993,16.55,1.103333333,10.33%,16.56909221,1.666959158
53.27,15,0,,27.9,51950,96.89,1545.98,0.99,1007,16.78333333,1.118888889,11.89%,16.82599268,3.165935051
53.27,15,0,,27.9,51950,96.89,1545.98,0.99,1007,16.78333333,1.118888889,11.89%,16.82599268,3.165935051
53.27,15,0,,27.9,51950,96.89,1546.76,0.96,993,16.55,1.103333333,10.33%,16.56909221,3.215022243
11.64,30,0,,28.3,11853,39.72,1488.89,4.06,2043,34.05,1.135,13.50%,34.07423507,0.3416070816
11.64,30,0,,28.3,11835,39.7,1488.89,4.06,2043,34.05,1.135,13.50%,34.07423507,0.3416070816
11.64,30,0,,28.3,11835,39.7,1488.89,4.06,2043,34.05,1.135,13.50%,34.07423507,0.3416070816
23.16,30,0,,28.3,23646,56.54,1488.11,4.11,2058,34.3,1.143333333,14.33%,34.28340975,0.6755454073
23.16,30,0,,28.3,23646,56.54,1488.89,4.06,2043,34.05,1.135,13.50%,34.07423507,0.6796924407
23.16,30,0,,27.9,23646,56.54,1488.11,4.11,2058,34.3,1.143333333,14.33%,34.28340975,0.6755454073
53.5,30,0,,28.3,51950,96.89,1488.89,4.06,2043,34.05,1.135,13.50%,34.07423507,1.570101277
53.5,30,0,,27.9,51950,96.89,1488.89,4.06,2043,34.05,1.135,13.50%,34.07423507,1.570101277
53.5,30,0,,27.9,51968,96.91,1488.89,4.06,2043,34.05,1.135,13.50%,34.07423507,1.570101277
5.86,60,0,,28.3,6020,31.41,1398.18,13.22,3689,61.48333333,1.024722222,2.47%,61.486366,0.09530568126
5.86,60,0,,28.3,6020,31.41,1397.4,13.32,3704,61.73333333,1.028888889,2.89%,61.71847844,0.0949472532
5.86,60,0,,28.3,6020,31.41,1397.4,13.32,3704,61.73333333,1.028888889,2.89%,61.71847844,0.0949472532
24.45,60,0,,28.3,24944,58.39,1392.71,13.94,3789,63.15,1.0525,5.25%,63.13853274,0.3872437153
24.45,60,0,,28.3,24944,58.39,1392.71,13.94,3789,63.15,1.0525,5.25%,63.13853274,0.3872437153
24.45,60,0,,28.3,24908,58.34,1393.49,13.84,3774,62.9,1.048333333,4.83%,62.91165981,0.3886401992
39.01,60,0,,28.3,39791,79.55,1386.45,14.79,3902,65.03333333,1.083888889,8.39%,65.03500611,0.599830804
39.01,60,0,,28.3,39791,79.55,1386.45,14.79,3902,65.03333333,1.083888889,8.39%,65.03500611,0.599830804
39.01,60,0,,28.3,39773,79.53,1386.45,14.79,3902,65.03333333,1.083888889,8.39%,65.03500611,0.599830804
51.36,60,0,,28.3,51877,96.78,1383.33,15.22,3959,65.98333333,1.099722222,9.97%,65.9736367,0.7784927824
51.36,60,0,,28.3,51859,96.76,1383.33,15.22,3959,65.98333333,1.099722222,9.97%,65.9736367,0.7784927824
51.36,60,0,,28.3,51877,96.78,1383.33,15.22,3959,65.98333333,1.099722222,9.97%,65.9736367,0.7784927824
11.04,140,0,,27.9,11286,38.92,1115.11,75.67,8826,147.1,1.050714286,5.07%,147.1041637,0.07504886145
11.04,140,0,,27.9,11286,38.92,1114.32,75.91,8840,147.3333333,1.052380952,5.24%,147.3372617,0.07493012883
11.04,140,0,,27.9,11286,38.92,1115.11,75.67,8826,147.1,1.050714286,5.07%,147.1041637,0.07504886145
28.75,140,0,,27.9,29351,64.67,1120.58,73.97,8727,145.45,1.038928571,3.89%,145.4423582,0.1976728124
28.75,140,0,,27.9,29333,64.64,1120.58,73.97,8727,145.45,1.038928571,3.89%,145.4423582,0.1976728124
28.75,140,0,,27.9,29333,64.64,1120.58,73.97,8727,145.45,1.038928571,3.89%,145.4423582,0.1976728124
53.06,140,0,,27.9,51932,96.86,1124.49,72.77,8656,144.2666667,1.03047619,3.05%,144.2577937,0.3678137495
53.06,140,0,,27.9,51950,96.89,1124.49,72.77,8656,144.2666667,1.03047619,3.05%,144.2577937,0.3678137495
